Index       TIME             V(VREF)     
470      8.50373612e-06    3.70808660e-01
471      8.50374567e-06    3.70980694e-01
472      8.50375353e-06    3.71122195e-01
473      8.50376013e-06    3.71240874e-01
474      8.50376672e-06    3.71359544e-01
475      8.50377991e-06    3.71596854e-01
476      8.50379310e-06    3.71834125e-01
477      8.50380629e-06    3.72071356e-01
478      8.50381948e-06    3.72308548e-01
479      8.50384585e-06    3.72782814e-01
480      8.50387223e-06    3.73256922e-01
481      8.50392499e-06    3.74204666e-01
482      8.50397774e-06    3.75151780e-01
483      8.50403049e-06    3.76098265e-01
484      8.50413600e-06    3.77989349e-01
485      8.50424151e-06    3.79877922e-01
486      8.50434702e-06    3.81763987e-01
487      8.50436167e-06    3.82025723e-01
488      8.50437633e-06    3.82287435e-01
489      8.50440564e-06    3.82810713e-01
490      8.50443494e-06    3.83333798e-01
491      8.50446425e-06    3.83856691e-01
492      8.50449356e-06    3.84379390e-01
493      8.50452287e-06    3.84901896e-01
494      8.50455218e-06    3.85424210e-01
495      8.50458149e-06    3.85946331e-01
496      8.50461079e-06    3.86468259e-01
497      8.50464010e-06    3.86989994e-01
498      8.50466941e-06    3.87511537e-01
499      8.50469872e-06    3.88032887e-01
500      8.50472803e-06    3.88554045e-01
501      8.50475734e-06    3.89075010e-01
502      8.50478665e-06    3.89595783e-01
503      8.50481595e-06    3.90116364e-01
504      8.50484526e-06    3.90636753e-01
505      8.50490388e-06    3.91676955e-01
506      8.50496250e-06    3.92716389e-01
507      8.50502111e-06    3.93755055e-01
508      8.50513835e-06    3.95830090e-01
509      8.50525558e-06    3.97902062e-01
510      8.50537281e-06    3.99970977e-01
511      8.50538459e-06    4.00178624e-01
512      8.50539637e-06    4.00386256e-01
513      8.50541992e-06    4.00801428e-01
514      8.50544347e-06    4.01216477e-01
515      8.50546703e-06    4.01631402e-01
516      8.50549058e-06    4.02046205e-01
517      8.50551413e-06    4.02460884e-01
518      8.50556124e-06    4.03289874e-01
519      8.50556858e-06    4.03418962e-01
520      8.50558325e-06    4.03677114e-01
521      8.50561261e-06    4.04193274e-01
522      8.50563602e-06    4.04604874e-01
523      8.50565599e-06    4.04955885e-01
524      8.50566099e-06    4.05043621e-01
525      8.50566130e-06    4.05049105e-01
526      8.50566192e-06    4.05060072e-01
527      8.50566200e-06    4.05061442e-01
528      8.50566204e-06    4.05062128e-01
529      8.50566206e-06    4.05062539e-01
530      8.50566208e-06    4.05062840e-01
531      8.50566209e-06    4.05063034e-01
532      8.50566209e-06    4.05063066e-01
533      8.50566210e-06    4.05063128e-01
534      8.50566210e-06    4.05063180e-01
535      8.50566210e-06    4.05063228e-01
536      8.50566211e-06    4.05063309e-01
537      8.50566212e-06    4.05063418e-01
538      8.50566215e-06    4.05063425e-01
539      8.50566215e-06    4.05063408e-01
540      8.50566216e-06    4.05063391e-01
541      8.50566216e-06    4.05063374e-01
542      8.50566217e-06    4.05063340e-01
543      8.50566218e-06    4.05063273e-01
544      8.50566221e-06    4.05063138e-01
545      8.50566226e-06    4.05062869e-01
546      8.50566236e-06    4.05062330e-01
547      8.50566258e-06    4.05061253e-01
548      8.50566300e-06    4.05059099e-01
549      8.50566384e-06    4.05054789e-01
550      8.50566553e-06    4.05046171e-01
551      8.50566891e-06    4.05028936e-01
552      8.50567567e-06    4.04994467e-01
553      8.50568242e-06    4.04960001e-01
554      8.50568918e-06    4.04925538e-01
555      8.50569594e-06    4.04891078e-01
556      8.50570269e-06    4.04856620e-01
557      8.50570945e-06    4.04822166e-01
558      8.50571621e-06    4.04787715e-01
559      8.50572296e-06    4.04753266e-01
560      8.50572408e-06    4.04747585e-01
561      8.50572631e-06    4.04736221e-01
562      8.50572854e-06    4.04724858e-01
563      8.50573076e-06    4.04713496e-01
564      8.50573299e-06    4.04702133e-01
565      8.50573522e-06    4.04690771e-01
566      8.50573968e-06    4.04668048e-01
567      8.50574414e-06    4.04645326e-01
568      8.50575305e-06    4.04599887e-01
569      8.50576197e-06    4.04554452e-01
570      8.50577088e-06    4.04509022e-01
571      8.50578872e-06    4.04418178e-01
572      8.50580655e-06    4.04327355e-01
573      8.50580766e-06    4.04321679e-01
574      8.50580989e-06    4.04310328e-01
575      8.50581017e-06    4.04308909e-01
576      8.50581073e-06    4.04306071e-01
577      8.50581080e-06    4.04305716e-01
578      8.50581081e-06    4.04305639e-01
579      8.50581084e-06    4.04305498e-01
580      8.50581087e-06    4.04305397e-01
581      8.50581092e-06    4.04305282e-01
582      8.50581098e-06    4.04305282e-01
583      8.50581109e-06    4.04305628e-01
584      8.50581131e-06    4.04307700e-01
585      8.50581142e-06    4.04309670e-01
586      8.50581143e-06    4.04309945e-01
587      8.50581145e-06    4.04310220e-01
588      8.50581146e-06    4.04310495e-01
589      8.50581150e-06    4.04311045e-01
590      8.50581156e-06    4.04312145e-01
591      8.50581168e-06    4.04314346e-01
592      8.50581193e-06    4.04318747e-01
593      8.50581243e-06    4.04327549e-01
594      8.50581344e-06    4.04345153e-01
595      8.50581544e-06    4.04380361e-01
596      8.50581944e-06    4.04450773e-01
597      8.50582746e-06    4.04591588e-01
598      8.50584348e-06    4.04873174e-01
599      8.50587552e-06    4.05436176e-01
600      8.50590757e-06    4.05998951e-01
601      8.50593961e-06    4.06561499e-01
602      8.50600370e-06    4.07685914e-01
603      8.50606779e-06    4.08809421e-01
604      8.50613188e-06    4.09932022e-01
605      8.50626005e-06    4.12174507e-01
606      8.50638823e-06    4.14413374e-01
607      8.50664459e-06    4.18880282e-01
608      8.50690094e-06    4.23332790e-01
609      8.50741365e-06    4.32194812e-01
610      8.50792636e-06    4.40999786e-01
611      8.50795840e-06    4.41548099e-01
612      8.50802249e-06    4.42644282e-01
613      8.50805454e-06    4.43191931e-01
614      8.50807056e-06    4.43465700e-01
615      8.50807256e-06    4.43499921e-01
616      8.50807300e-06    4.43507369e-01
617      8.50807387e-06    4.43521960e-01
618      8.50807474e-06    4.43535694e-01
619      8.50807561e-06    4.43548335e-01
620      8.50807649e-06    4.43559896e-01
621      8.50807823e-06    4.43579875e-01
622      8.50808172e-06    4.43608098e-01
623      8.50808520e-06    4.43622180e-01
624      8.50808869e-06    4.43624193e-01
625      8.50809218e-06    4.43616113e-01
626      8.50809567e-06    4.43600042e-01
627      8.50809915e-06    4.43580555e-01
628      8.50810225e-06    4.43563261e-01
629      8.50810535e-06    4.43545968e-01
630      8.50811154e-06    4.43511383e-01
631      8.50812392e-06    4.43442222e-01
632      8.50814868e-06    4.43303932e-01
633      8.50819820e-06    4.43027482e-01
634      8.50829725e-06    4.42475099e-01
635      8.50849535e-06    4.41372397e-01
636      8.50889154e-06    4.39175227e-01
637      8.50968393e-06    4.34813620e-01
638      8.51126871e-06    4.26219712e-01
639      8.51443826e-06    4.09536475e-01
640      8.51760781e-06    3.93506259e-01
641      8.52394692e-06    3.63292074e-01
642      8.52473931e-06    3.59701917e-01
643      8.52632409e-06    3.52592560e-01
644      8.52672028e-06    3.51096998e-01
645      8.52711647e-06    3.50037462e-01
646      8.52716865e-06    3.49932289e-01
647      8.52722083e-06    3.49823050e-01
648      8.52727300e-06    3.49711964e-01
649      8.52737736e-06    3.49497687e-01
650      8.52748171e-06    3.49291251e-01
651      8.52769042e-06    3.48903009e-01
652      8.52810783e-06    3.48213034e-01
653      8.52894265e-06    3.47110767e-01
654      8.53061230e-06    3.45665552e-01
655      8.53395160e-06    3.44373933e-01
656      8.54063020e-06    3.43875018e-01
657      8.54730880e-06    3.43913440e-01
658      8.55398740e-06    3.43910294e-01
659      8.56734461e-06    3.43910766e-01
660      8.59405901e-06    3.43910466e-01
661      8.64748781e-06    3.43910717e-01
662      8.74748781e-06    3.43910485e-01
663      8.84748781e-06    3.43910704e-01
664      8.94748781e-06    3.43910495e-01
665      9.00000000e-06    3.43910690e-01
666      9.00003987e-06    3.43909223e-01
667      9.00007315e-06    3.43909739e-01
668      9.00010643e-06    3.43910426e-01
669      9.00017298e-06    3.43910841e-01
670      9.00030609e-06    3.43910443e-01
671      9.00035666e-06    3.43911785e-01
672      9.00040723e-06    3.43919686e-01
673      9.00041397e-06    3.43922038e-01
674      9.00042071e-06    3.43924562e-01
675      9.00043418e-06    3.43930392e-01
676      9.00044766e-06    3.43936622e-01
677      9.00046113e-06    3.43942292e-01
678      9.00047460e-06    3.43946401e-01
679      9.00048808e-06    3.43947894e-01
680      9.00050155e-06    3.43945277e-01
681      9.00051503e-06    3.43930647e-01
682      9.00052715e-06    3.43899176e-01
683      9.00052906e-06    3.43892836e-01
684      9.00053098e-06    3.43886612e-01
685      9.00053289e-06    3.43880654e-01
686      9.00053671e-06    3.43870002e-01
687      9.00054054e-06    3.43861582e-01
688      9.00054818e-06    3.43852218e-01
689      9.00055583e-06    3.43851345e-01
690      9.00056348e-06    3.43855361e-01
691      9.00057112e-06    3.43860218e-01
692      9.00057877e-06    3.43863559e-01
693      9.00058642e-06    3.43865370e-01
694      9.00059406e-06    3.43866561e-01
